Product_name,Quantity,Category,Subcategory,Subcategory2,Subcategory3,
Planters - Salted Cashews,223,Food,Snack,Nuts,All,
Simply OJ,222,Beverage,Juice,,All,
Trident Cinnamon Sugar Free Gum 14 pcs,218,Food,Snack,Gum,All,
Vegetarian Burrito,216,Food,Rolls,,Lunch,
GTMT POP,216,,,,,
Miss Vickies Jalapeno Chips,215,Food,Snack,Chips,All,
Elk Jerky Bag,214,Cloths,Bags,,All,
Fall Harvest Salad,214,Food,Salad,,All,
Miss Vickies Sea Salt,213,Food,Snack,Chips,All,
Swoffle Caramel,212,Food,Snack,Waffle,All,
SkinnyPop - Original Popcorn 0.5oz,212,Food,Snack,Popcorn,All,
Huckleberry Chapstick,211,Personal care,Chapstick,,All,
Welchs Tropical Drink Juice orange pineapple,211,Beverage,Juice,,All,
Jedediahs - Ham Ciabatta,209,Food,Sandwich,Ham,Lunch,
Fritos Original,209,Food,Snack,Chips,All,
Adult Short Sleeve,208,Cloths,Apparel,Shirt,All,
Moodibars - tired,208,Food,Snack,Bar,All,
Side of Meat,207,Food,Meat,,Breakfast,
Naked Juice - Green Machine 15.2 oz.,206,Beverage,Juice,,All,
M&M - Peanut 1.74oz,206,Food,Snack,Candy,All,
Smart Water - Alkaline,206,Beverage,Water,Alkaline,All,
Bagel,204,Food,Bread,,Breakfast,
Classic Kosher Dill Pickle Pack SuckerPunch Giurme,204,Food,Snack,Pickle,All,
Travel size Kleenex,204,Personal care,Tissues,,All,
Orbit Gum - Peppermint,203,Food,Snack,Gum,All,
San Pellegrino Sparkling Natural Mineral Water 16.,202,Beverage,Sparkling Water,,All,
Canada Dry - Ginger Ale 12oz,202,Beverage,Soda,,All,
Halls Honey Lemon,200,Medicine,Medicine,Cough Drops,All,
Pop Tarts Frosted Strawberry,200,Food,Desert,Pastries,All,
Natures Bakery Fig Bar - Blueberry 2oz.,199,Food,Snack,Bar,All,
sand,199,Food,Sandwich,,Breakfast/Lunch,
Emp Bottle Soda,199,Beverage,Soda,,All,
Welchs Tropical Drink Juice Grape,198,Beverage,Juice,,All,
x,198,,,,,
Minute Maid - Apple,197,Beverage,Juice,,All,
Side of Potatoes,196,Food,,,,
burrito,194,Food,Rolls,,All,
Easy Eggs Hard Boil Eggs,190,Food,,Egg,Breakfast,
Cappuccino 16oz - HOT,187,Beverage,Coffee,,All,
Welchs Tropical Drink Juice Apple,185,Beverage,Juice,,All,
Sun Chips Garden Salsa,185,Food,Snack,Chips,All,
Fritos Original 1oz. Bag,183,Food,Snack,Chips,All,
Planters Salted Peanuts,182,Food,Snack,Nuts,All,
Jedediahs - Southwest Chicken Salad Wrap,181,Food,Wrap,Chicken,Lunch,
Flavored Latte 12oz - ICED,181,Beverage,Cold Coffee,,All,
Emp Coffee/Fountain,181,Beverage,Coffee,,All,
GoGo SqueeZ Applesauce GIMME FIVE 3.2oz.,180,Food,Fruit,,All,
Nutrigrain - Blueberry,178,Food,Snack,Bar,All,
Milky Way Bar,176,Food,Snack,Candy,All,
Chai Latte - 16oz HOT,176,Beverage,Coffee,,All,
Chefs Line - Iced Lemon Cake 4oz.,175,Food,Desert,Cake,All,
Jackson Hole Wild Huckleberry Honey 12oz.,175,Food,Honey,,All,
Doritos Cool Ranch,174,Food,Snack,Chips,All,
Go-Gurt Low-Fat Yogurt,174,Food,Yogurt,,All,
